plataforma,juego,region,año,unidades_vendidas
Xbox,Forza Motorsport,Asia,2023,14821
PC,Dota 2,Asia,2022,25731
Xbox,Halo Infinite,Asia,2023,18524
Xbox,Forza Motorsport,Latinoamérica,2023,10396
Xbox,Sea of Thieves,Oceanía,2022,4273
PlayStation,Gran Turismo 7,Oceanía,2024,17127
PC,Dota 2,Europa,2022,8000
Xbox,Halo Infinite,Norteamérica,2024,10924
PC,Cities: Skylines II,Norteamérica,2022,30788
Xbox,Starfield,Europa,2023,4361
Switch,Mario Kart 8,Oceanía,2023,12898
PC,Counter-Strike 2,Oceanía,2024,13156
Switch,Zelda: Tears of the Kingdom,Norteamérica,2022,8330
Xbox,Sea of Thieves,Oceanía,2022,13635
PC,Dota 2,Latinoamérica,2023,33837
Switch,Animal Crossing,Oceanía,2023,4758
PlayStation,Spider-Man 2,Oceanía,2022,31433
PC,Elden Ring,Oceanía,2022,36178
PC,Counter-Strike 2,Asia,2023,6196
Switch,Pokémon Escarlata/Púrpura,Europa,2024,29782
PlayStation,God of War Ragnarok,Norteamérica,2022,22771
Xbox,Starfield,Europa,2023,9787
Switch,Pokémon Escarlata/Púrpura,Latinoamérica,2023,22781
Switch,Mario Kart 8,Oceanía,2022,6364
Switch,Pokémon Escarlata/Púrpura,Europa,2024,21624
PlayStation,Horizon Forbidden West,Europa,2023,4670
PC,Baldur's Gate 3,Norteamérica,2022,5821
PlayStation,Gran Turismo 7,Norteamérica,2024,21649
Switch,Pokémon Escarlata/Púrpura,Oceanía,2023,19354
Switch,Mario Kart 8,Europa,2024,20101
PC,Counter-Strike 2,Norteamérica,2022,38176
PC,Cities: Skylines II,Oceanía,2024,14499
Switch,Mario Kart 8,Oceanía,2023,24408
Xbox,Forza Motorsport,Europa,2024,20578
Xbox,Sea of Thieves,Asia,2023,10453
PlayStation,Spider-Man 2,Oceanía,2023,13611
Xbox,Sea of Thieves,Asia,2022,10713
PC,Counter-Strike 2,Norteamérica,2023,19732
PlayStation,Horizon Forbidden West,Asia,2023,9065
PlayStation,God of War Ragnarok,Norteamérica,2023,15219
Switch,Mario Kart 8,Latinoamérica,2023,4529
PC,Dota 2,Oceanía,2022,18200
Xbox,Gears 5,Latinoamérica,2024,15135
PlayStation,God of War Ragnarok,Latinoamérica,2022,31984
PC,Elden Ring,Oceanía,2022,34973
Switch,Animal Crossing,Asia,2022,5459
PC,Elden Ring,Europa,2022,10388
Switch,Animal Crossing,Oceanía,2024,25425
Switch,Mario Kart 8,Latinoamérica,2023,23130
PC,Cities: Skylines II,Latinoamérica,2023,32458
Xbox,Gears 5,Europa,2024,19003
Xbox,Halo Infinite,Europa,2023,6614
Xbox,Halo Infinite,Latinoamérica,2023,3755
Xbox,Starfield,Oceanía,2023,15008
PC,Dota 2,Norteamérica,2024,31469
PlayStation,God of War Ragnarok,Norteamérica,2022,28616
PlayStation,Horizon Forbidden West,Oceanía,2024,12956
Switch,Splatoon 3,Europa,2024,25600
Switch,Mario Kart 8,Norteamérica,2022,15235
Xbox,Halo Infinite,Asia,2022,20404
Xbox,Sea of Thieves,Norteamérica,2022,6477
Xbox,Starfield,Latinoamérica,2024,7036
PlayStation,Spider-Man 2,Oceanía,2023,21471
PC,Baldur's Gate 3,Asia,2023,24860
Xbox,Forza Motorsport,Oceanía,2022,17346
Xbox,Gears 5,Asia,2023,15040
PlayStation,Final Fantasy XVI,Latinoamérica,2022,6654
Switch,Animal Crossing,Norteamérica,2024,12532
PlayStation,Spider-Man 2,Latinoamérica,2023,17042
Switch,Pokémon Escarlata/Púrpura,Latinoamérica,2022,10122
Switch,Mario Kart 8,Asia,2022,18165
PlayStation,Horizon Forbidden West,Europa,2023,33109
PlayStation,Spider-Man 2,Asia,2023,25436
Switch,Splatoon 3,Europa,2022,29580
PC,Counter-Strike 2,Europa,2022,8048
Xbox,Gears 5,Norteamérica,2024,8945
Switch,Pokémon Escarlata/Púrpura,Latinoamérica,2023,30025
PC,Dota 2,Latinoamérica,2023,12986
PC,Dota 2,Europa,2022,31273
PC,Dota 2,Latinoamérica,2023,28613
Switch,Zelda: Tears of the Kingdom,Europa,2022,13024
PC,Baldur's Gate 3,Asia,2022,12832
Xbox,Starfield,Latinoamérica,2023,8518
Switch,Mario Kart 8,Asia,2024,24975
PlayStation,Gran Turismo 7,Oceanía,2024,15547
PC,Baldur's Gate 3,Europa,2023,25899
Switch,Mario Kart 8,Asia,2023,25076
PC,Cities: Skylines II,Asia,2023,10630
Xbox,Forza Motorsport,Latinoamérica,2023,14432
PC,Baldur's Gate 3,Norteamérica,2022,20906
Switch,Zelda: Tears of the Kingdom,Oceanía,2024,12375
PC,Counter-Strike 2,Oceanía,2022,17149
PlayStation,Gran Turismo 7,Norteamérica,2022,10931
Switch,Splatoon 3,Latinoamérica,2023,12221
Switch,Mario Kart 8,Oceanía,2023,6680
Switch,Pokémon Escarlata/Púrpura,Asia,2024,20494
Xbox,Starfield,Oceanía,2023,18620
PC,Baldur's Gate 3,Asia,2024,30142
Switch,Zelda: Tears of the Kingdom,Asia,2022,8427
PC,Dota 2,Asia,2022,10772
Switch,Splatoon 3,Norteamérica,2022,10093
Switch,Splatoon 3,Latinoamérica,2023,26634
Xbox,Sea of Thieves,Latinoamérica,2022,11040
Xbox,Starfield,Latinoamérica,2024,12589
PC,Cities: Skylines II,Oceanía,2023,5170
PlayStation,Horizon Forbidden West,Oceanía,2024,4718
PC,Baldur's Gate 3,Europa,2022,11173
PC,Cities: Skylines II,Oceanía,2022,32832
PC,Cities: Skylines II,Europa,2022,6971
Xbox,Halo Infinite,Latinoamérica,2022,15905
Switch,Pokémon Escarlata/Púrpura,Europa,2023,7259
Switch,Splatoon 3,Europa,2022,16635
PC,Dota 2,Oceanía,2022,20237
PlayStation,Final Fantasy XVI,Norteamérica,2022,31979
Switch,Zelda: Tears of the Kingdom,Norteamérica,2022,22337
PC,Baldur's Gate 3,Europa,2022,6091
Switch,Animal Crossing,Europa,2023,14225
Switch,Zelda: Tears of the Kingdom,Norteamérica,2022,5631
Xbox,Sea of Thieves,Latinoamérica,2022,13206
Switch,Pokémon Escarlata/Púrpura,Norteamérica,2022,23898
PC,Elden Ring,Asia,2022,5206
Switch,Pokémon Escarlata/Púrpura,Europa,2024,16257
Switch,Animal Crossing,Asia,2024,8818
PlayStation,Final Fantasy XVI,Oceanía,2023,23388
PlayStation,Gran Turismo 7,Norteamérica,2022,12763
PC,Baldur's Gate 3,Europa,2023,5150
Switch,Zelda: Tears of the Kingdom,Norteamérica,2024,29640
PlayStation,God of War Ragnarok,Europa,2024,27418
Switch,Mario Kart 8,Oceanía,2024,19495
Switch,Splatoon 3,Europa,2024,7283
PC,Baldur's Gate 3,Norteamérica,2024,17304
PlayStation,Gran Turismo 7,Europa,2023,22008
Switch,Splatoon 3,Oceanía,2024,22010
PlayStation,Spider-Man 2,Oceanía,2023,12485
Xbox,Halo Infinite,Latinoamérica,2023,21405
PC,Cities: Skylines II,Oceanía,2023,37674
Switch,Splatoon 3,Asia,2023,12443
Xbox,Halo Infinite,Latinoamérica,2023,3750
PlayStation,Final Fantasy XVI,Oceanía,2024,25300
PlayStation,Horizon Forbidden West,Latinoamérica,2024,25499
PC,Cities: Skylines II,Norteamérica,2024,21880
PlayStation,Horizon Forbidden West,Oceanía,2024,6890
PC,Cities: Skylines II,Europa,2022,23550
Switch,Pokémon Escarlata/Púrpura,Asia,2024,30499
Switch,Mario Kart 8,Europa,2023,9324
PC,Elden Ring,Asia,2022,27912
PC,Dota 2,Latinoamérica,2023,4975
PlayStation,Gran Turismo 7,Norteamérica,2022,4481
PlayStation,Final Fantasy XVI,Norteamérica,2024,23914
Xbox,Starfield,Oceanía,2024,5394
PC,Dota 2,Latinoamérica,2023,31021
Xbox,Forza Motorsport,Oceanía,2023,16246
Switch,Pokémon Escarlata/Púrpura,Europa,2022,20494
PC,Dota 2,Norteamérica,2022,24563
PlayStation,Horizon Forbidden West,Oceanía,2024,21049
Switch,Splatoon 3,Europa,2024,19951
Xbox,Gears 5,Latinoamérica,2024,9373
PlayStation,Horizon Forbidden West,Oceanía,2023,25881
PlayStation,Final Fantasy XVI,Latinoamérica,2022,19222
Switch,Zelda: Tears of the Kingdom,Norteamérica,2022,6221
Xbox,Gears 5,Asia,2022,18334
Switch,Pokémon Escarlata/Púrpura,Norteamérica,2024,15163
Xbox,Gears 5,Asia,2023,17798
Switch,Pokémon Escarlata/Púrpura,Norteamérica,2023,19041
PlayStation,Horizon Forbidden West,Oceanía,2023,24551
PlayStation,Final Fantasy XVI,Norteamérica,2024,31230
PC,Elden Ring,Europa,2023,33451
Xbox,Sea of Thieves,Oceanía,2022,12188
PC,Baldur's Gate 3,Oceanía,2023,28522
Switch,Mario Kart 8,Asia,2022,15582
Switch,Zelda: Tears of the Kingdom,Latinoamérica,2022,7370
Xbox,Gears 5,Norteamérica,2023,22165
Switch,Splatoon 3,Europa,2024,11425
Xbox,Gears 5,Europa,2023,8362
Xbox,Forza Motorsport,Norteamérica,2022,18538
PC,Dota 2,Asia,2023,6905
Xbox,Halo Infinite,Oceanía,2022,13613
Xbox,Forza Motorsport,Asia,2024,22302
Switch,Pokémon Escarlata/Púrpura,Europa,2023,26093
PC,Cities: Skylines II,Europa,2022,37712
Xbox,Forza Motorsport,Oceanía,2024,14277
Xbox,Halo Infinite,Oceanía,2022,15147
PC,Counter-Strike 2,Norteamérica,2024,9881
PlayStation,Spider-Man 2,Norteamérica,2022,19401
PC,Baldur's Gate 3,Latinoamérica,2022,29086
Xbox,Halo Infinite,Norteamérica,2023,15236
PlayStation,God of War Ragnarok,Norteamérica,2022,16641
PlayStation,Spider-Man 2,Europa,2024,7001
PC,Dota 2,Latinoamérica,2024,16760
Switch,Animal Crossing,Norteamérica,2024,9252
PC,Dota 2,Europa,2023,15895
Switch,Pokémon Escarlata/Púrpura,Latinoamérica,2024,27241
PC,Counter-Strike 2,Europa,2022,30024
Xbox,Forza Motorsport,Norteamérica,2024,4778
Switch,Splatoon 3,Norteamérica,2024,14342
PlayStation,Gran Turismo 7,Norteamérica,2024,15731
Xbox,Sea of Thieves,Asia,2023,6823
Switch,Splatoon 3,Latinoamérica,2022,24201
PC,Counter-Strike 2,Europa,2023,10107
Switch,Mario Kart 8,Asia,2024,13600
PlayStation,Horizon Forbidden West,Norteamérica,2024,21577
Switch,Pokémon Escarlata/Púrpura,Latinoamérica,2022,25891
Switch,Animal Crossing,Norteamérica,2023,25440
Xbox,Halo Infinite,Oceanía,2022,22719
PlayStation,Final Fantasy XVI,Europa,2023,8992
PlayStation,Horizon Forbidden West,Asia,2024,24161
PC,Dota 2,Norteamérica,2023,32451
PlayStation,Final Fantasy XVI,Asia,2022,9617
PC,Dota 2,Europa,2022,8521
Xbox,Forza Motorsport,Latinoamérica,2022,12138
Switch,Mario Kart 8,Asia,2023,27489
PlayStation,Final Fantasy XVI,Latinoamérica,2023,28212
PC,Cities: Skylines II,Asia,2022,9570
Xbox,Forza Motorsport,Europa,2024,15253
Switch,Zelda: Tears of the Kingdom,Oceanía,2023,25510
Xbox,Starfield,Asia,2022,3507
Switch,Mario Kart 8,Europa,2024,12305
Xbox,Halo Infinite,Latinoamérica,2024,7459
Xbox,Starfield,Latinoamérica,2024,20346
PlayStation,Final Fantasy XVI,Asia,2022,26383
PlayStation,Gran Turismo 7,Latinoamérica,2024,29529
PC,Elden Ring,Latinoamérica,2023,27143
Xbox,Halo Infinite,Asia,2024,2883
Xbox,Forza Motorsport,Latinoamérica,2023,10573
Xbox,Starfield,Asia,2022,11398
Switch,Mario Kart 8,Norteamérica,2024,11694
Xbox,Forza Motorsport,Asia,2022,19106
Xbox,Halo Infinite,Asia,2022,15545
Switch,Animal Crossing,Latinoamérica,2023,6866
PC,Cities: Skylines II,Latinoamérica,2023,8043
PC,Counter-Strike 2,Latinoamérica,2024,14922
PC,Elden Ring,Norteamérica,2023,14877
PC,Dota 2,Asia,2023,35137
PC,Cities: Skylines II,Norteamérica,2024,38031
Xbox,Sea of Thieves,Norteamérica,2024,8631
Xbox,Forza Motorsport,Oceanía,2022,13392
Switch,Splatoon 3,Oceanía,2022,19940
PC,Cities: Skylines II,Norteamérica,2024,35363
PC,Baldur's Gate 3,Norteamérica,2024,5644
Xbox,Gears 5,Latinoamérica,2024,12242
PC,Elden Ring,Europa,2023,10338
Switch,Pokémon Escarlata/Púrpura,Asia,2022,15808
PC,Elden Ring,Latinoamérica,2023,27527
Switch,Pokémon Escarlata/Púrpura,Asia,2023,21371
Switch,Mario Kart 8,Asia,2022,23827
Switch,Zelda: Tears of the Kingdom,Europa,2023,13566
PlayStation,Horizon Forbidden West,Asia,2022,12220
PC,Cities: Skylines II,Oceanía,2023,20996
Xbox,Sea of Thieves,Latinoamérica,2022,7052
PC,Counter-Strike 2,Norteamérica,2024,12160
Switch,Splatoon 3,Norteamérica,2022,12948
PC,Counter-Strike 2,Europa,2023,14661
PC,Counter-Strike 2,Oceanía,2022,14361
Switch,Pokémon Escarlata/Púrpura,Asia,2024,27490
PC,Cities: Skylines II,Asia,2024,6307
PC,Cities: Skylines II,Norteamérica,2024,17899
Switch,Pokémon Escarlata/Púrpura,Oceanía,2022,10779
Switch,Zelda: Tears of the Kingdom,Oceanía,2023,23151
PC,Counter-Strike 2,Asia,2023,4870
PC,Counter-Strike 2,Latinoamérica,2023,27869
Switch,Zelda: Tears of the Kingdom,Latinoamérica,2024,13760
Xbox,Gears 5,Latinoamérica,2023,21030
Xbox,Halo Infinite,Europa,2022,16358
PlayStation,God of War Ragnarok,Asia,2023,21447
PlayStation,God of War Ragnarok,Asia,2022,30754
Xbox,Gears 5,Asia,2024,17475
PC,Baldur's Gate 3,Oceanía,2023,7032
Switch,Mario Kart 8,Norteamérica,2024,22518
Xbox,Halo Infinite,Oceanía,2022,10931
PC,Counter-Strike 2,Norteamérica,2022,29300
PlayStation,Gran Turismo 7,Oceanía,2023,24325
Switch,Animal Crossing,Oceanía,2022,11242
PlayStation,God of War Ragnarok,Latinoamérica,2024,10749
Xbox,Gears 5,Latinoamérica,2024,21359
Xbox,Starfield,Europa,2023,10340
Switch,Splatoon 3,Norteamérica,2023,17973
Switch,Splatoon 3,Oceanía,2022,21197
Switch,Zelda: Tears of the Kingdom,Norteamérica,2024,29285
PC,Baldur's Gate 3,Latinoamérica,2024,17531
Xbox,Starfield,Asia,2023,9154
Switch,Pokémon Escarlata/Púrpura,Europa,2023,26465
PC,Dota 2,Norteamérica,2022,9522
PlayStation,Horizon Forbidden West,Asia,2023,32232
Xbox,Starfield,Asia,2023,6106
PlayStation,Horizon Forbidden West,Oceanía,2023,17512
PlayStation,Final Fantasy XVI,Europa,2023,7541
Switch,Pokémon Escarlata/Púrpura,Asia,2023,27720
Switch,Zelda: Tears of the Kingdom,Norteamérica,2024,6210
Xbox,Gears 5,Norteamérica,2023,10651
Switch,Pokémon Escarlata/Púrpura,Oceanía,2022,16685
PlayStation,Final Fantasy XVI,Oceanía,2024,28435
Xbox,Forza Motorsport,Europa,2024,8108
PlayStation,Spider-Man 2,Oceanía,2022,14132
Switch,Animal Crossing,Latinoamérica,2024,13174
Switch,Pokémon Escarlata/Púrpura,Asia,2023,7886
Xbox,Gears 5,Asia,2024,18652
Switch,Mario Kart 8,Norteamérica,2024,25142
PC,Cities: Skylines II,Latinoamérica,2022,33445
Switch,Animal Crossing,Asia,2024,28286
PlayStation,Final Fantasy XVI,Latinoamérica,2023,5266
Xbox,Gears 5,Oceanía,2022,18891
PlayStation,God of War Ragnarok,Latinoamérica,2024,32394
Xbox,Forza Motorsport,Latinoamérica,2023,12625
Xbox,Forza Motorsport,Latinoamérica,2022,8641
PlayStation,Horizon Forbidden West,Asia,2024,30913
PlayStation,Spider-Man 2,Asia,2024,30206
PlayStation,Gran Turismo 7,Asia,2024,21693
Switch,Pokémon Escarlata/Púrpura,Asia,2022,9228
Switch,Splatoon 3,Oceanía,2022,15644
PC,Elden Ring,Asia,2022,19863
Xbox,Sea of Thieves,Europa,2022,12493
PlayStation,Horizon Forbidden West,Asia,2023,24326
Switch,Pokémon Escarlata/Púrpura,Latinoamérica,2024,25463
Switch,Zelda: Tears of the Kingdom,Asia,2023,30661
PC,Elden Ring,Norteamérica,2022,16283
PC,Cities: Skylines II,Oceanía,2022,30115
Switch,Zelda: Tears of the Kingdom,Norteamérica,2023,26578
Xbox,Halo Infinite,Europa,2023,4445
Xbox,Starfield,Asia,2023,13950
Switch,Pokémon Escarlata/Púrpura,Oceanía,2022,22595
PC,Elden Ring,Asia,2023,33996
Switch,Zelda: Tears of the Kingdom,Europa,2023,25196
Switch,Mario Kart 8,Europa,2024,22927
Xbox,Gears 5,Europa,2024,8545
PlayStation,Horizon Forbidden West,Oceanía,2024,21144
PC,Counter-Strike 2,Norteamérica,2022,12167
PC,Elden Ring,Oceanía,2022,18781
PlayStation,Spider-Man 2,Europa,2023,21220
Switch,Splatoon 3,Europa,2023,10343
Switch,Pokémon Escarlata/Púrpura,Latinoamérica,2024,7680
Switch,Mario Kart 8,Latinoamérica,2023,17191
PlayStation,God of War Ragnarok,Europa,2022,25176
Switch,Zelda: Tears of the Kingdom,Norteamérica,2023,3843
PC,Baldur's Gate 3,Europa,2023,14079
PC,Baldur's Gate 3,Norteamérica,2022,16236
Switch,Pokémon Escarlata/Púrpura,Latinoamérica,2022,6578
Xbox,Starfield,Norteamérica,2023,19869
Xbox,Starfield,Oceanía,2023,11395
Switch,Splatoon 3,Asia,2023,6240
Xbox,Forza Motorsport,Oceanía,2024,10694
PC,Baldur's Gate 3,Oceanía,2022,28758
PC,Counter-Strike 2,Latinoamérica,2024,9154
PC,Counter-Strike 2,Oceanía,2024,20773
Switch,Pokémon Escarlata/Púrpura,Europa,2023,6657
Switch,Splatoon 3,Norteamérica,2023,16634
Switch,Animal Crossing,Latinoamérica,2024,3917
PC,Cities: Skylines II,Europa,2024,23349
PlayStation,Spider-Man 2,Norteamérica,2023,29487
Switch,Zelda: Tears of the Kingdom,Latinoamérica,2022,22059
PC,Baldur's Gate 3,Norteamérica,2024,9389
Switch,Mario Kart 8,Asia,2022,12324
Switch,Zelda: Tears of the Kingdom,Latinoamérica,2024,6133
Xbox,Sea of Thieves,Norteamérica,2023,19477
PlayStation,Final Fantasy XVI,Latinoamérica,2023,7068
PlayStation,Final Fantasy XVI,Oceanía,2023,30690
PlayStation,Spider-Man 2,Latinoamérica,2024,31790
PC,Elden Ring,Norteamérica,2022,35243
Xbox,Halo Infinite,Latinoamérica,2023,3719
PlayStation,Spider-Man 2,Latinoamérica,2024,17407
PC,Dota 2,Europa,2023,33599
PC,Baldur's Gate 3,Asia,2022,17654
PlayStation,Final Fantasy XVI,Oceanía,2024,14113
PlayStation,Gran Turismo 7,Norteamérica,2024,14985
PC,Dota 2,Oceanía,2024,37532
Xbox,Halo Infinite,Asia,2024,19608
PC,Cities: Skylines II,Asia,2024,14977
PC,Counter-Strike 2,Oceanía,2022,13085
Xbox,Gears 5,Latinoamérica,2023,4046
Switch,Zelda: Tears of the Kingdom,Oceanía,2023,18106
Xbox,Gears 5,Norteamérica,2023,7012
Switch,Mario Kart 8,Norteamérica,2023,20570
Xbox,Sea of Thieves,Asia,2022,5842
Switch,Splatoon 3,Latinoamérica,2022,21118
PC,Dota 2,Latinoamérica,2024,22904
