fecha,tienda,juegos_vendidos,ingresos_usd
2023-06-01,Xbox Store,15484,590563.33
2023-06-01,PlayStation Store,22756,898043.33
2023-06-01,Epic Games,16176,721569.01
2023-06-01,Steam,35239,607400.31
2023-06-07,Steam,49427,757719.02
2023-06-08,Xbox Store,18177,617910.08
2023-06-10,PlayStation Store,7016,269533.13
2023-06-11,Eneba,10668,189331.95
2023-06-18,Epic Games,19394,613716.25
2023-06-20,Xbox Store,22775,477956.67
2023-07-01,Nintendo eShop,18662,544307.7
2023-07-01,PlayStation Store,20923,517964.96
2023-07-01,Xbox Store,15266,635326.85
2023-07-01,Steam,30791,1259173.18
2023-07-01,Eneba,9076,220820.74
2023-07-01,Epic Games,16484,555518.8
2023-07-03,Eneba,2828,49932.96
2023-07-04,Epic Games,6622,99800.8
2023-07-13,Xbox Store,16713,616754.17
2023-07-14,Steam,13977,233804.9
2023-07-14,Xbox Store,10652,367453.9
2023-07-18,Xbox Store,8151,225396.72
2023-07-20,Epic Games,5614,134306.35
2023-07-21,Epic Games,19997,808787.02
2023-07-23,Xbox Store,15079,409121.58
2023-07-26,Eneba,4278,144734.23
2023-08-01,Nintendo eShop,15618,472577.79
2023-08-01,Xbox Store,14186,346589.67
2023-08-01,PlayStation Store,25655,713897.43
2023-08-01,Eneba,9678,296946.77
2023-08-01,Epic Games,15942,507575.34
2023-08-01,Steam,36059,1363908.83
2023-08-03,Steam,44236,1700696.63
2023-08-17,Xbox Store,13692,232945.99
2023-08-18,PlayStation Store,9525,356086.76
2023-09-01,Nintendo eShop,16995,350047.94
2023-09-01,Xbox Store,15726,615067.91
2023-09-01,PlayStation Store,20487,803999.7
2023-09-01,Eneba,8858,379938.21
2023-09-01,Steam,33960,927512.91
2023-09-01,Epic Games,18187,685055.01
2023-09-09,Eneba,7980,233839.63
2023-09-10,Epic Games,27911,948405.75
2023-09-11,Xbox Store,20419,892405.25
2023-09-12,Steam,26473,956973.36
2023-09-12,Xbox Store,6128,250677.86
2023-09-15,Eneba,7799,233175.59
2023-09-17,Xbox Store,18724,545766.7
2023-09-18,PlayStation Store,28845,520187.26
2023-09-22,Epic Games,9274,236535.07
2023-09-22,Eneba,12831,510114.17
2023-09-26,Nintendo eShop,7406,245772.76
2023-10-01,Xbox Store,14808,225210.58
2023-10-01,Nintendo eShop,17016,515993.25
2023-10-01,Eneba,9065,197982.95
2023-10-01,Epic Games,19645,822819.0
2023-10-01,Steam,35610,1396740.5
2023-10-01,PlayStation Store,21134,587831.91
2023-10-07,Epic Games,24478,1034496.4
2023-10-09,Xbox Store,15142,478873.15
2023-10-10,Steam,14001,429506.16
2023-10-15,Epic Games,26338,1027787.3
2023-10-23,Xbox Store,4353,102121.24
2023-10-23,Xbox Store,10570,193642.21
2023-10-25,Epic Games,27579,629551.91
2023-10-27,Steam,36757,1070811.68
2023-11-01,Xbox Store,14875,652659.85
2023-11-01,PlayStation Store,23276,840058.21
2023-11-01,Nintendo eShop,16501,372160.59
2023-11-01,Epic Games,16863,423754.22
2023-11-01,Steam,29487,548341.4
2023-11-01,Eneba,9796,299422.08
2023-11-03,Epic Games,9498,171203.48
2023-11-10,PlayStation Store,34772,758748.77
2023-11-12,Xbox Store,5596,146513.28
2023-11-14,Xbox Store,22645,936899.02
2023-11-22,PlayStation Store,8636,143969.19
2023-12-01,Eneba,10152,167972.51
2023-12-01,Nintendo eShop,17407,516729.42
2023-12-01,Steam,27587,649559.47
2023-12-01,Epic Games,17862,287712.1
2023-12-01,Xbox Store,14223,275187.74
2023-12-01,PlayStation Store,29021,677917.52
2023-12-02,Epic Games,10391,427102.05
2023-12-03,Eneba,15642,419776.25
2023-12-04,Eneba,4327,155313.68
2023-12-06,Eneba,10341,192403.02
2023-12-06,Steam,29229,575624.55
2023-12-08,Eneba,15022,485649.42
2023-12-09,Steam,15723,407129.41
2023-12-16,Epic Games,28269,697710.85
2023-12-19,Epic Games,9641,170038.46
2024-01-01,Eneba,11461,389754.08
2024-01-01,PlayStation Store,18132,563443.54
2024-01-01,Xbox Store,12485,202558.56
2024-01-01,Nintendo eShop,15238,498721.03
2024-01-01,Epic Games,19013,700586.11
2024-01-01,Steam,39663,877716.37
2024-01-12,Nintendo eShop,9507,397023.4
2024-01-12,PlayStation Store,9824,382364.57
2024-01-18,Steam,17024,497570.16
2024-01-19,Steam,37838,1080615.51
2024-01-19,Epic Games,21389,848675.27
2024-01-19,Steam,38092,1473230.26
2024-01-24,Eneba,6304,245403.53
2024-01-27,Epic Games,19606,665718.43
2024-02-01,Steam,28649,984275.93
2024-02-01,Epic Games,17744,358995.02
2024-02-01,Xbox Store,12955,553747.24
2024-02-01,Nintendo eShop,15862,655433.85
2024-02-01,Eneba,8807,379629.64
2024-02-01,PlayStation Store,26091,499022.58
2024-02-04,Xbox Store,5690,138510.24
2024-02-06,Nintendo eShop,5556,206382.71
2024-02-15,Epic Games,13542,483626.83
2024-02-25,Epic Games,19558,375010.5
2024-02-26,Xbox Store,22120,630981.48
2024-03-01,Nintendo eShop,18212,463976.23
2024-03-01,PlayStation Store,22691,951162.92
2024-03-01,Steam,38987,1540657.43
2024-03-01,Eneba,8062,143464.72
2024-03-01,Xbox Store,14880,374543.23
2024-03-01,Epic Games,15136,479170.34
2024-03-03,PlayStation Store,26795,940447.15
2024-03-04,Steam,39739,1637548.24
2024-03-10,Xbox Store,4967,194171.49
2024-03-11,Nintendo eShop,14124,499871.84
2024-03-14,Epic Games,17640,708413.29
2024-03-21,Eneba,4115,84242.96
2024-03-22,Xbox Store,11874,182466.6
2024-03-24,Eneba,3111,79727.09
2024-03-25,Xbox Store,4579,186876.15
2024-03-25,Steam,36933,1170846.11
2024-04-01,Epic Games,18558,712582.33
2024-04-01,Steam,38084,1584805.87
2024-04-01,PlayStation Store,23024,966021.85
2024-04-01,Eneba,9257,183749.69
2024-04-01,Xbox Store,15072,228369.5
2024-04-01,Nintendo eShop,15359,304497.72
2024-04-03,Xbox Store,14914,570711.95
2024-04-06,Epic Games,27005,865226.57
2024-04-12,Steam,32642,1258032.2
2024-04-15,Eneba,7311,210585.91
2024-04-18,PlayStation Store,8117,128211.76
2024-04-19,Eneba,8061,170507.03
2024-04-21,PlayStation Store,32188,1261682.41
2024-04-25,PlayStation Store,26899,974224.36
2024-04-25,Xbox Store,7071,280551.03
2024-05-01,Epic Games,19108,415180.75
2024-05-01,Eneba,8980,222375.02
2024-05-01,PlayStation Store,24734,924943.0
2024-05-01,Nintendo eShop,17789,570143.37
2024-05-01,Steam,44255,1529434.85
2024-05-01,Xbox Store,16388,569137.12
2024-05-05,Eneba,12577,282994.21
2024-05-10,Steam,19749,367199.85
2024-05-11,Steam,52779,1652348.44
2024-05-11,Steam,14902,351960.95
2024-05-12,Epic Games,8973,338723.56
2024-05-15,Xbox Store,5516,154955.55
2024-05-17,Epic Games,18630,516522.16
2024-05-20,PlayStation Store,21895,832748.6
2024-05-20,Nintendo eShop,15541,615858.83
2024-05-21,PlayStation Store,22030,933977.71
2024-05-21,Eneba,14184,386615.07
2024-05-22,Xbox Store,9299,348231.28
2024-05-23,Nintendo eShop,7962,173054.17
2024-05-26,Eneba,4547,129046.11
2024-06-01,Xbox Store,14843,479538.49
2024-06-01,PlayStation Store,23733,805372.69
2024-06-01,Eneba,10165,424507.62
2024-06-01,Epic Games,16590,370288.61
2024-06-01,Nintendo eShop,20082,597971.62
2024-06-01,Steam,35405,812777.81
2024-06-03,PlayStation Store,13008,202098.74
2024-06-06,Nintendo eShop,16910,462299.6
2024-06-07,PlayStation Store,10986,261860.35
2024-06-08,Steam,10678,333693.57
2024-06-11,Epic Games,11182,254944.41
2024-06-12,PlayStation Store,32009,1009963.3
2024-06-15,Xbox Store,5594,182424.51
2024-06-18,Eneba,9752,336522.87
2024-07-01,Xbox Store,14549,224983.02
2024-07-01,Eneba,9019,389786.0
2024-07-01,Nintendo eShop,18727,802485.69
2024-07-01,PlayStation Store,24331,1061293.3
2024-07-01,Epic Games,16507,259652.74
2024-07-01,Steam,39562,926689.67
2024-07-04,PlayStation Store,20790,369059.54
2024-07-06,Xbox Store,4696,109709.72
2024-07-07,Xbox Store,13897,282059.95
2024-07-10,Epic Games,19638,680885.67
2024-07-11,Nintendo eShop,23055,814786.24
2024-07-12,Xbox Store,15269,637954.1
2024-07-16,Nintendo eShop,18542,522194.13
2024-07-17,Epic Games,22217,612025.55
2024-07-18,Steam,48990,1940658.86
2024-07-20,Eneba,10334,340733.04
2024-07-24,Epic Games,16875,586598.04
2024-08-01,PlayStation Store,18982,465220.71
2024-08-01,Nintendo eShop,14798,530997.67
2024-08-01,Xbox Store,15467,666408.45
2024-08-01,Steam,39227,1722446.08
2024-08-01,Eneba,9379,380174.87
2024-08-01,Epic Games,18397,746771.74
2024-08-02,Nintendo eShop,8444,320070.76
2024-08-11,Xbox Store,7982,235763.08
2024-08-12,Eneba,10468,359069.15
2024-08-12,PlayStation Store,24724,780339.18
2024-08-16,Steam,31631,1291163.78
2024-08-18,Epic Games,23856,739646.18
2024-08-21,PlayStation Store,26175,1014233.9
2024-08-23,Xbox Store,10449,270553.12
2024-09-01,Nintendo eShop,19769,470662.83
2024-09-01,Xbox Store,17186,443156.69
2024-09-01,PlayStation Store,20190,751553.63
2024-09-01,Eneba,10603,438151.43
2024-09-01,Steam,33469,1119545.48
2024-09-01,Epic Games,19065,852250.97
2024-09-03,Nintendo eShop,26841,848617.47
2024-09-06,PlayStation Store,14321,414046.34
2024-09-08,Eneba,10842,289267.06
2024-09-11,Steam,43052,1597804.73
2024-09-16,Steam,56043,1552646.47
2024-09-17,Nintendo eShop,15295,354090.42
2024-09-18,Xbox Store,17162,645001.69
2024-09-24,Xbox Store,22322,500490.02
2024-09-26,Epic Games,11867,449863.06
2024-09-26,PlayStation Store,16450,266090.04
2024-10-01,Eneba,11276,439201.97
2024-10-01,PlayStation Store,34510,1190589.93
2024-10-01,Xbox Store,17096,712911.21
2024-10-01,Steam,40093,1644330.76
2024-10-01,Nintendo eShop,19083,479757.8
2024-10-01,Epic Games,20044,849811.23
2024-10-04,Steam,23886,396624.6
2024-10-04,Steam,56062,2172685.46
2024-10-05,Xbox Store,5629,162266.87
2024-10-06,Eneba,12118,434994.53
2024-10-07,Eneba,5671,172721.01
2024-10-08,PlayStation Store,27152,676303.72
2024-10-09,Eneba,3136,85733.58
2024-10-16,Epic Games,24699,417561.27
2024-10-18,PlayStation Store,15562,647081.48
2024-10-19,Epic Games,21950,513593.54
2024-10-24,Xbox Store,22797,976475.54
2024-10-27,Xbox Store,16326,687340.19
2024-11-01,Eneba,13684,322909.77
2024-11-01,Epic Games,18498,297430.55
2024-11-01,Steam,34548,1117588.78
2024-11-01,Nintendo eShop,20182,618943.72
2024-11-01,PlayStation Store,18467,604335.5
2024-11-01,Xbox Store,14593,274537.86
2024-11-02,Steam,12078,433725.08
2024-11-06,PlayStation Store,13525,235703.42
2024-11-07,Eneba,4632,168714.64
2024-11-11,Nintendo eShop,8673,372751.61
2024-11-16,Epic Games,14507,567529.28
2024-11-20,PlayStation Store,21708,844316.93
2024-11-20,Epic Games,17550,296079.11
2024-11-21,Epic Games,23888,397654.47
2024-11-26,Epic Games,20728,766466.63
2024-12-01,Epic Games,20765,364656.13
2024-12-01,Xbox Store,11808,458843.01
2024-12-01,PlayStation Store,22123,754914.19
2024-12-01,Eneba,10859,339009.61
2024-12-01,Steam,35103,1182534.39
2024-12-01,Nintendo eShop,18402,425562.8
2024-12-05,Epic Games,24448,574542.25
2024-12-07,Xbox Store,23223,612553.05
2024-12-07,Eneba,14823,307157.11
2024-12-15,Eneba,5347,175674.11
2024-12-17,Nintendo eShop,15016,300496.14
2024-12-19,Eneba,4497,181381.66
2024-12-21,Epic Games,25010,424850.15
