pais,plataforma,trimestre,año,unidades_vendidas,ingresos_usd
Estados Unidos,Switch,Q3,2023,24747,821040.58
Francia,Xbox,Q1,2024,6926,175790.5
Alemania,Xbox,Q1,2022,7344,310086.77
Reino Unido,PlayStation,Q4,2023,14730,425772.17
Francia,PC,Q2,2024,3785,158897.86
Japón,PlayStation,Q3,2024,11524,307365.04
México,Xbox,Q2,2024,3677,79926.44
Francia,PlayStation,Q3,2023,6507,317554.63
Brasil,PC,Q3,2022,14112,463853.8
Japón,Switch,Q3,2023,23702,596143.82
China,PC,Q2,2022,21748,846943.18
Estados Unidos,PC,Q1,2024,31969,776385.75
España,PC,Q1,2023,5956,279200.29
Corea del Sur,Xbox,Q1,2022,14804,304149.22
Estados Unidos,Xbox,Q1,2024,49272,1814220.73
Reino Unido,PlayStation,Q4,2022,6518,273362.25
México,PC,Q1,2022,6776,313232.22
México,Xbox,Q2,2022,6292,226193.34
Japón,PC,Q1,2024,27645,939649.95
Reino Unido,PC,Q4,2023,9622,452792.65
China,PlayStation,Q2,2024,10413,377513.47
Alemania,Switch,Q1,2022,18641,414276.25
China,PlayStation,Q3,2022,29831,1096957.94
Japón,PlayStation,Q2,2024,10927,450218.83
Alemania,Switch,Q3,2023,11631,354745.74
China,PC,Q1,2024,36283,1601356.14
Brasil,PC,Q4,2022,8779,329340.61
Reino Unido,PlayStation,Q3,2023,11463,490115.74
Japón,Switch,Q4,2022,23485,742094.0
México,PlayStation,Q1,2023,4970,234837.31
Corea del Sur,PC,Q4,2023,12180,568522.26
Reino Unido,PlayStation,Q2,2023,11803,383010.63
Francia,Switch,Q3,2022,8262,225100.4
China,Switch,Q2,2024,25981,666091.08
Estados Unidos,PlayStation,Q4,2024,36226,1617685.87
China,PC,Q4,2023,49194,2005703.88
Japón,PlayStation,Q1,2022,30943,1109693.49
Reino Unido,PC,Q3,2024,14332,400434.07
Corea del Sur,Xbox,Q4,2024,14864,735782.34
Brasil,PC,Q4,2022,3176,104731.38
Estados Unidos,PlayStation,Q2,2022,30451,1412225.61
Japón,Switch,Q4,2023,27749,1110120.88
Francia,PlayStation,Q3,2024,8894,418306.7
Brasil,PlayStation,Q2,2024,10221,453634.89
Francia,Switch,Q4,2024,3953,189812.34
España,Xbox,Q3,2024,1549,32871.05
Estados Unidos,Xbox,Q3,2022,54241,2360163.19
Reino Unido,PlayStation,Q3,2023,6685,317537.17
Estados Unidos,Switch,Q3,2024,44726,1581028.96
España,Switch,Q1,2022,6401,205297.68
Japón,PC,Q1,2024,20973,880686.2
China,Xbox,Q1,2024,38271,1762503.92
China,PC,Q3,2024,22372,762435.45
Reino Unido,Switch,Q2,2022,19067,645161.82
Francia,Xbox,Q4,2024,11322,509356.12
Corea del Sur,Switch,Q3,2024,16224,405951.64
Reino Unido,Xbox,Q3,2022,3749,147935.54
España,PC,Q4,2024,6325,240247.32
Brasil,PlayStation,Q2,2024,10688,359001.38
China,Switch,Q1,2024,8332,209511.85
Brasil,PlayStation,Q2,2024,11878,465282.01
España,PC,Q2,2022,4996,224907.58
China,PlayStation,Q3,2024,47576,1025742.27
Brasil,PlayStation,Q2,2022,2910,111189.44
Alemania,PlayStation,Q2,2024,7649,201468.37
Brasil,PC,Q3,2024,4495,106791.71
Japón,PlayStation,Q1,2024,5635,214679.03
México,Xbox,Q1,2023,6100,145415.82
Corea del Sur,Switch,Q1,2022,9518,433808.45
Japón,PlayStation,Q2,2024,20164,530799.79
China,PlayStation,Q2,2023,28160,626417.12
Reino Unido,PC,Q2,2022,11608,569219.21
Brasil,Xbox,Q4,2024,2206,65712.7
Brasil,Switch,Q4,2023,4776,132266.82
Estados Unidos,PC,Q4,2022,25174,631964.27
Alemania,Switch,Q2,2024,5834,289390.4
Brasil,PlayStation,Q3,2024,3107,128039.49
Reino Unido,PlayStation,Q4,2023,10759,315800.0
Corea del Sur,Xbox,Q3,2024,3988,127114.76
Corea del Sur,Switch,Q2,2022,3592,92400.01
México,Xbox,Q4,2022,7145,327755.96
Corea del Sur,PC,Q4,2022,15856,764463.07
España,PlayStation,Q1,2022,3197,111215.29
Francia,Xbox,Q1,2024,14947,657560.33
Corea del Sur,Xbox,Q1,2023,13638,642381.96
Estados Unidos,PlayStation,Q3,2022,47384,1771202.96
España,PlayStation,Q4,2024,9065,434872.66
Francia,Switch,Q4,2022,4497,127536.18
Japón,PlayStation,Q4,2023,9890,376970.35
Francia,Switch,Q2,2022,16895,736112.5
Japón,Switch,Q3,2022,30938,1295839.51
Reino Unido,PC,Q3,2022,5744,158437.63
Reino Unido,Xbox,Q3,2023,17298,736052.13
España,Switch,Q4,2022,8395,226358.74
Alemania,Xbox,Q1,2022,11523,332091.75
Brasil,PC,Q3,2023,13314,509926.18
España,PC,Q3,2022,8336,283351.53
México,Xbox,Q2,2023,8372,275461.85
Estados Unidos,PC,Q4,2023,41940,1339406.91
China,PC,Q2,2022,14925,318868.74
Estados Unidos,Switch,Q3,2022,32681,1112794.81
Reino Unido,Switch,Q2,2022,3680,167792.78
México,PC,Q4,2024,9680,412525.13
México,Switch,Q1,2022,4865,113600.72
México,Xbox,Q2,2022,3460,132600.35
España,Xbox,Q3,2024,4911,194216.27
Estados Unidos,PC,Q1,2022,19587,882444.8
Brasil,PlayStation,Q2,2022,6817,289630.1
Japón,PC,Q1,2024,19408,631896.19
Brasil,Xbox,Q2,2024,2466,52404.24
Corea del Sur,PC,Q2,2024,6857,176717.43
China,PC,Q3,2023,34453,975853.01
Alemania,Switch,Q2,2022,20750,854662.66
Corea del Sur,Xbox,Q2,2024,9522,231081.42
Brasil,PC,Q2,2023,7493,372797.36
Estados Unidos,Switch,Q4,2023,53012,2537141.6
México,Switch,Q4,2024,3946,96750.02
México,Xbox,Q2,2023,10389,226524.13
México,Switch,Q4,2023,8838,223760.19
Brasil,PlayStation,Q3,2022,12056,243608.18
México,PlayStation,Q3,2023,7999,365468.18
China,Xbox,Q4,2024,46456,1345659.71
Estados Unidos,PlayStation,Q2,2024,29306,886917.71
México,Switch,Q2,2022,9910,416702.16
Estados Unidos,PC,Q3,2023,13844,401474.88
Alemania,PC,Q1,2022,16558,524949.75
Francia,Switch,Q4,2024,15896,325171.64
China,Xbox,Q2,2024,12104,496176.64
Brasil,PC,Q4,2022,6966,156612.88
Reino Unido,PC,Q3,2022,4482,105604.59
Francia,PC,Q3,2023,5725,241415.2
Japón,Switch,Q4,2024,23138,582533.32
Brasil,PC,Q1,2023,5709,186741.84
México,PlayStation,Q1,2024,1954,47542.33
Alemania,PC,Q3,2023,3647,97746.71
Estados Unidos,Xbox,Q2,2023,20349,955037.76
Estados Unidos,Xbox,Q1,2023,11907,525977.88
Estados Unidos,PC,Q1,2023,34917,1187216.29
Francia,PlayStation,Q3,2022,10916,407122.89
Estados Unidos,Switch,Q3,2023,21444,865862.44
España,PC,Q2,2023,7449,358426.44
España,PlayStation,Q3,2023,5047,248002.03
Estados Unidos,PlayStation,Q1,2024,52659,1713019.68
Corea del Sur,Xbox,Q3,2024,10722,427332.27
Estados Unidos,Switch,Q4,2024,39268,1260357.68
Brasil,PC,Q1,2024,5993,165776.94
Estados Unidos,Switch,Q1,2023,29500,1188140.12
Reino Unido,Xbox,Q2,2024,4008,83684.15
Alemania,Switch,Q4,2022,10808,446427.07
Japón,Switch,Q3,2024,11241,313307.67
Corea del Sur,Switch,Q3,2024,6152,193107.86
México,PlayStation,Q2,2023,4384,157561.0
Reino Unido,Xbox,Q4,2023,15759,704980.28
Corea del Sur,PlayStation,Q4,2023,15743,426879.38
Alemania,PlayStation,Q4,2023,17183,778874.82
Brasil,PC,Q1,2023,8768,326100.56
Brasil,Xbox,Q2,2024,2578,106703.99
Alemania,PC,Q1,2024,9075,275669.95
Francia,Xbox,Q2,2022,14684,469985.12
Corea del Sur,Xbox,Q2,2024,6864,342732.44
Corea del Sur,PlayStation,Q1,2024,9898,476653.38
Corea del Sur,PC,Q3,2022,3728,108940.66
Corea del Sur,Switch,Q2,2022,9233,341284.88
México,PlayStation,Q1,2023,9279,295018.19
Corea del Sur,PC,Q2,2024,15305,582742.53
China,Xbox,Q3,2022,10841,488375.45
Corea del Sur,Switch,Q2,2023,4821,230428.62
España,Xbox,Q3,2022,9564,194062.85
Japón,PlayStation,Q4,2023,5597,243210.76
España,PC,Q4,2024,6618,133615.77
España,Xbox,Q3,2024,3894,165689.45
Corea del Sur,Switch,Q4,2022,11310,508663.3
Estados Unidos,PC,Q4,2022,18862,426810.47
España,Switch,Q2,2022,2329,90375.38
Reino Unido,Switch,Q2,2023,4230,168735.44
Alemania,PC,Q1,2024,12148,419512.98
Alemania,PlayStation,Q1,2022,6098,261031.62
Alemania,PC,Q2,2024,13151,405483.11
Francia,PlayStation,Q1,2023,4407,92726.5
Japón,PC,Q3,2023,24209,1193045.1
Alemania,Switch,Q3,2022,19338,520209.91
Japón,Switch,Q3,2024,22843,1022964.8
México,PlayStation,Q2,2022,6871,169647.07
Reino Unido,Switch,Q1,2023,4205,87904.99
México,Xbox,Q4,2024,3144,78847.18
Japón,PC,Q3,2024,20886,1035018.02
China,PlayStation,Q2,2023,26394,789427.69
Estados Unidos,Switch,Q2,2024,32209,1547095.47
Brasil,Xbox,Q1,2024,12127,248443.45
China,PC,Q1,2024,18530,922077.33
Estados Unidos,PC,Q2,2024,39452,1088529.87
Brasil,Xbox,Q2,2024,8331,411376.77
Japón,PlayStation,Q3,2022,13829,668203.47
Estados Unidos,Switch,Q2,2023,40909,1282217.32
México,PlayStation,Q4,2023,1825,49300.77
Brasil,PlayStation,Q3,2022,11199,442519.7
Francia,PlayStation,Q3,2024,4354,182995.41
China,PC,Q2,2022,15480,525708.57
México,PC,Q2,2024,7609,296325.38
Estados Unidos,Switch,Q4,2023,40445,1167990.36
México,PC,Q3,2022,10887,406190.5
Corea del Sur,PlayStation,Q2,2023,10534,476096.38
Brasil,Switch,Q2,2023,6252,151935.14
Alemania,PlayStation,Q2,2024,21263,870435.62
Alemania,Switch,Q1,2022,14212,574014.16
China,Xbox,Q4,2022,32782,923096.46
Reino Unido,Switch,Q3,2023,13790,458811.22
Francia,PC,Q1,2024,12675,465161.75
Corea del Sur,Xbox,Q4,2022,4677,210228.59
China,Xbox,Q4,2024,21344,893651.05
Estados Unidos,Xbox,Q1,2024,8902,217632.44
Corea del Sur,PC,Q3,2024,15467,726397.25
Francia,Xbox,Q2,2023,14563,556522.71
México,PC,Q4,2024,5381,120709.7
Corea del Sur,Switch,Q3,2022,18161,410989.74
Japón,Xbox,Q1,2024,29614,882749.85
Estados Unidos,PC,Q4,2023,27519,1039380.33
Japón,Switch,Q3,2022,14952,558544.72
Alemania,PC,Q3,2024,15950,558236.4
Francia,Xbox,Q1,2022,3918,81381.25
Francia,Xbox,Q1,2022,7098,322966.98
Japón,Switch,Q2,2023,11092,257810.67
España,PC,Q4,2022,4093,92429.72
Japón,Xbox,Q4,2024,27974,1016323.08
España,Xbox,Q2,2023,4072,142301.54
Francia,PlayStation,Q1,2023,6281,154640.12
Japón,Xbox,Q4,2023,27348,1280147.96
Corea del Sur,PC,Q4,2022,12737,522403.33
Francia,Xbox,Q3,2022,10780,386913.52
Reino Unido,PC,Q1,2022,8069,363106.63
Francia,PlayStation,Q4,2024,7450,357032.1
Corea del Sur,Xbox,Q4,2023,9812,358295.72
Corea del Sur,Xbox,Q3,2022,7679,240641.83
Francia,PC,Q4,2023,9452,234977.47
Estados Unidos,PlayStation,Q2,2022,13338,615955.27
Brasil,PlayStation,Q2,2024,14107,561331.85
Francia,PlayStation,Q4,2024,12137,393843.35
Corea del Sur,PlayStation,Q1,2022,12859,326835.44
México,PC,Q2,2023,7409,341161.36
Estados Unidos,PC,Q4,2023,14318,302730.78
Alemania,PlayStation,Q4,2022,6965,148075.65
China,Xbox,Q4,2022,45428,1255083.4
Alemania,Xbox,Q3,2024,13020,491970.16
México,Switch,Q1,2024,5442,133582.47
Alemania,Xbox,Q4,2023,14375,613155.13
Corea del Sur,PlayStation,Q2,2023,10569,362571.55
Alemania,PC,Q3,2024,17463,704754.64
España,PlayStation,Q1,2023,10093,420511.92
Brasil,Xbox,Q1,2023,11864,443962.51
Reino Unido,PlayStation,Q1,2023,3023,133909.8
Francia,Xbox,Q1,2023,11689,263988.65
Corea del Sur,Xbox,Q2,2022,6249,207472.12
Alemania,Switch,Q2,2023,3590,136380.7
China,PC,Q2,2022,24169,1089122.69
España,Xbox,Q2,2022,5338,187398.36
Brasil,Switch,Q3,2023,8856,300960.77
Corea del Sur,Xbox,Q3,2024,12073,437464.01
Japón,PC,Q2,2022,22218,990667.81
Reino Unido,PlayStation,Q1,2024,12840,344154.41
Corea del Sur,Xbox,Q1,2024,8553,212999.07
Japón,PC,Q3,2024,25465,548385.94
Francia,Xbox,Q3,2024,10118,261300.15
Alemania,Xbox,Q1,2024,3283,116954.49
Japón,Switch,Q2,2022,29244,684502.08
Corea del Sur,PlayStation,Q2,2022,4234,199386.74
Estados Unidos,PC,Q2,2024,39140,1474679.49
Brasil,PC,Q2,2022,5712,136010.81
España,PlayStation,Q1,2022,8083,176009.89
Francia,Xbox,Q1,2023,12671,606200.68
China,Xbox,Q1,2024,36748,1100057.78
México,Switch,Q4,2022,5625,116265.69
México,Xbox,Q2,2023,2591,108496.94
Corea del Sur,PC,Q1,2022,8856,190677.73
China,PlayStation,Q2,2024,42191,986063.22
China,Xbox,Q3,2024,34806,1732529.99
Reino Unido,PlayStation,Q2,2022,14210,379998.07
México,Xbox,Q3,2023,7685,195429.19
Francia,Switch,Q3,2024,5430,169240.2
Alemania,PC,Q1,2023,18979,886423.66
Japón,PlayStation,Q1,2023,17596,626230.6
Francia,Switch,Q4,2024,3425,109196.4
Brasil,Xbox,Q2,2022,4033,133189.64
Reino Unido,PC,Q2,2024,19240,559594.48
Corea del Sur,Xbox,Q4,2023,10276,494908.34
China,PC,Q1,2022,32538,844838.51
China,Xbox,Q4,2024,10508,322022.72
China,Xbox,Q2,2024,9384,383331.96
México,PlayStation,Q4,2022,9270,321163.99
Corea del Sur,PlayStation,Q1,2022,7669,313052.74
China,PlayStation,Q1,2023,20036,946510.98
Francia,Xbox,Q2,2023,3900,188174.54
Corea del Sur,PC,Q4,2024,11686,453090.96
Estados Unidos,Switch,Q1,2024,25554,1198450.22
Alemania,PC,Q4,2023,8184,305375.77
México,PC,Q3,2024,4674,153757.2
Francia,PC,Q2,2024,16053,400361.62
Brasil,PlayStation,Q1,2022,5106,193143.68
Reino Unido,Switch,Q1,2024,9900,224074.03
España,PC,Q4,2023,8222,234321.7
